Date,Number of Confirmed Cases
2020-07-01,0
2020-07-02,94
2020-07-03,57
2020-07-04,0
2020-07-05,0
2020-07-06,130
2020-07-07,47
2020-07-08,46
2020-07-09,37
2020-07-10,77
2020-07-11,0
2020-07-12,0
2020-07-13,230
2020-07-14,86
2020-07-15,82
2020-07-16,120
2020-07-17,105
2020-07-18,0
2020-07-19,0
2020-07-20,368
2020-07-21,141
2020-07-22,133
2020-07-23,114
2020-07-24,111
2020-07-25,0
2020-07-26,0
2020-07-27,304
2020-07-28,80
2020-07-29,133
2020-07-30,113
2020-07-31,127
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,303
2020-08-05,94
2020-08-06,56
2020-08-07,134
2020-08-08,0
2020-08-09,0
2020-08-10,257
2020-08-11,85
2020-08-12,121
2020-08-13,76
2020-08-14,84
2020-08-15,0
2020-08-16,0
2020-08-17,359
2020-08-18,7
2020-08-19,82
2020-08-20,103
2020-08-21,144
2020-08-22,0
2020-08-23,0
2020-08-24,258
2020-08-25,77
2020-08-26,127
2020-08-27,108
2020-08-28,158
2020-08-29,0
2020-08-30,0
2020-08-31,426
2020-09-01,164
2020-09-02,114
2020-09-03,130
2020-09-04,164
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,619
2020-09-09,98
2020-09-10,113
2020-09-11,111
2020-09-12,0
2020-09-13,0
2020-09-14,418
2020-09-15,124
2020-09-16,171
2020-09-17,146
2020-09-18,107
2020-09-19,0
2020-09-20,0
2020-09-21,358
2020-09-22,150
2020-09-23,143
2020-09-24,158
2020-09-25,153
2020-09-26,0
2020-09-27,0
2020-09-28,406
2020-09-29,160
2020-09-30,153
2020-10-01,173
2020-10-02,122
2020-10-03,0
2020-10-04,0
2020-10-05,578
2020-10-06,276
2020-10-07,143
2020-10-08,364
2020-10-09,277
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,961
2020-10-14,243
2020-10-15,244
2020-10-16,332
2020-10-17,0
2020-10-18,0
2020-10-19,898
2020-10-20,323
2020-10-21,406
2020-10-22,427
2020-10-23,432
2020-10-24,0
2020-10-25,0
2020-10-26,1472
2020-10-27,422
2020-10-28,410
2020-10-29,477
2020-10-30,622
2020-10-31,581
2020-11-01,525
2020-11-02,592
2020-11-03,570
2020-11-04,515
2020-11-05,802
2020-11-06,609
2020-11-07,919
2020-11-08,727
2020-11-09,656
2020-11-10,713
2020-11-11,672
2020-11-12,860
2020-11-13,907
2020-11-14,1026
2020-11-15,991
2020-11-16,860
2020-11-17,773
2020-11-18,730
2020-11-19,1105
2020-11-20,1155
2020-11-21,1336
2020-11-22,1584
2020-11-23,1549
2020-11-24,1115
2020-11-25,1265
2020-11-26,1077
2020-11-27,1227
2020-11-28,1731
2020-11-29,1608
2020-11-30,1733
2020-12-01,1307
2020-12-02,1685
2020-12-03,1854
2020-12-04,1828
2020-12-05,1879
2020-12-06,1836
2020-12-07,1735
2020-12-08,1727
2020-12-09,1460
2020-12-10,1566
2020-12-11,1738
2020-12-12,1590
2020-12-13,1717
2020-12-14,1887
2020-12-15,1341
2020-12-16,1270
2020-12-17,1571
2020-12-18,1413
2020-12-19,1352
2020-12-20,1286
2020-12-21,1240
2020-12-22,1021
2020-12-23,1301
2020-12-24,1007
2020-12-25,1191
2020-12-26,914
2020-12-27,459
2020-12-28,917
2020-12-29,872
2020-12-30,1287
2020-12-31,1200
2021-01-01,1387
2021-01-02,933
2021-01-03,459
2021-01-04,1128
2021-01-05,843
2021-01-06,1123
2021-01-07,968
2021-01-08,1183
2021-01-09,989
2021-01-10,811
2021-01-11,639
2021-01-12,652
2021-01-13,875
2021-01-14,967
2021-01-15,785
2021-01-16,717
2021-01-17,750
2021-01-18,474
2021-01-19,456
2021-01-20,669
2021-01-21,678
2021-01-22,643
2021-01-23,573
2021-01-24,463
2021-01-25,742
2021-01-26,366
2021-01-27,459
2021-01-28,461
2021-01-29,543
2021-01-30,383
2021-01-31,461
2021-02-01,355
2021-02-02,268
2021-02-03,259
2021-02-04,582
2021-02-05,396
2021-02-06,348
2021-02-07,351
2021-02-08,269
2021-02-09,195
2021-02-10,339
2021-02-11,351
2021-02-12,314
2021-02-13,305
2021-02-14,284
2021-02-15,251
2021-02-16,263
2021-02-17,277
2021-02-18,415
2021-02-19,325
2021-02-20,380
2021-02-21,328
2021-02-22,273
2021-02-23,267
2021-02-24,430
2021-02-25,399
2021-02-26,356
2021-02-27,415
2021-02-28,301
2021-03-01,291
2021-03-02,257
2021-03-03,402
2021-03-04,331
2021-03-05,411
2021-03-06,341
2021-03-07,304
2021-03-08,278
2021-03-09,255
2021-03-10,399
2021-03-11,364
2021-03-12,425
2021-03-13,474
2021-03-14,388
2021-03-15,364
2021-03-16,355
2021-03-17,479
2021-03-18,505
2021-03-19,696
2021-03-20,556
2021-03-21,555
2021-03-22,456
2021-03-23,465
2021-03-24,692
2021-03-25,764
2021-03-26,717
2021-03-27,668
2021-03-28,644
2021-03-29,545
2021-03-30,576
2021-03-31,871
2021-04-01,875
2021-04-02,1081
2021-04-03,1071
2021-04-04,948
2021-04-05,887
2021-04-06,931
2021-04-07,1351
2021-04-08,1429
2021-04-09,1521
2021-04-10,1293
2021-04-11,1183
2021-04-12,1136
2021-04-13,1081
2021-04-14,1412
2021-04-15,1646
2021-04-16,1616
2021-04-17,1486
2021-04-18,1516
2021-04-19,1391
2021-04-20,1345
2021-04-21,1699
2021-04-22,1857
2021-04-23,1690
2021-04-24,1592
2021-04-25,1437
2021-04-26,1495
2021-04-27,1539
2021-04-28,1839
2021-04-29,2048
2021-04-30,2007
2021-05-01,2433
2021-05-02,1731
2021-05-03,2012
2021-05-04,1743
2021-05-05,2271
2021-05-06,2211
2021-05-07,1980
2021-05-08,2042
2021-05-09,1633
2021-05-10,1597
2021-05-11,1449
2021-05-12,1799
2021-05-13,1558
2021-05-14,1433
2021-05-15,1195
2021-05-16,1140
2021-05-17,721
2021-05-18,877
2021-05-19,908
2021-05-20,812
2021-05-21,732
2021-05-22,621
2021-05-23,563
2021-05-24,452
2021-05-25,387
2021-05-26,390
2021-05-27,513
2021-05-28,512
2021-05-29,406
