Date,Number of Confirmed Cases
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,1
2020-08-15,2
2020-08-16,0
2020-08-17,1
2020-08-18,0
2020-08-19,1
2020-08-20,1
2020-08-21,0
2020-08-22,1
2020-08-23,2
2020-08-24,0
2020-08-25,0
2020-08-26,1
2020-08-27,0
2020-08-28,2
2020-08-29,0
2020-08-30,0
2020-08-31,2
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,1
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,1
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,1
2020-10-01,0
2020-10-02,1
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,3
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,1
2020-10-17,2
2020-10-18,2
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,3
2020-10-25,0
2020-10-26,1
2020-10-27,1
2020-10-28,0
2020-10-29,0
2020-10-30,2
2020-10-31,5
2020-11-01,2
2020-11-02,2
2020-11-03,1
2020-11-04,4
2020-11-05,1
2020-11-06,2
2020-11-07,4
2020-11-08,3
2020-11-09,1
2020-11-10,3
2020-11-11,2
2020-11-12,0
2020-11-13,2
2020-11-14,6
2020-11-15,2
2020-11-16,2
2020-11-17,5
2020-11-18,3
2020-11-19,1
2020-11-20,5
2020-11-21,8
2020-11-22,11
2020-11-23,11
2020-11-24,37
2020-11-25,16
2020-11-26,14
2020-11-27,9
2020-11-28,14
2020-11-29,10
2020-11-30,15
2020-12-01,10
2020-12-02,17
2020-12-03,11
2020-12-04,15
2020-12-05,6
2020-12-06,4
2020-12-07,8
2020-12-08,7
2020-12-09,6
2020-12-10,4
2020-12-11,9
2020-12-12,7
2020-12-13,6
2020-12-14,5
2020-12-15,6
2020-12-16,4
2020-12-17,6
2020-12-18,6
2020-12-19,1
2020-12-20,2
2020-12-21,2
2020-12-22,7
2020-12-23,4
2020-12-24,7
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,13
2020-12-29,2
2020-12-30,3
2020-12-31,3
2021-01-01,11
2021-01-02,2
2021-01-03,2
2021-01-04,4
2021-01-05,3
2021-01-06,12
2021-01-07,3
2021-01-08,2
2021-01-09,3
2021-01-10,0
2021-01-11,5
2021-01-12,1
2021-01-13,8
2021-01-14,6
2021-01-15,2
2021-01-16,4
2021-01-17,3
2021-01-18,0
2021-01-19,4
2021-01-20,3
2021-01-21,1
2021-01-22,5
2021-01-23,0
2021-01-24,1
2021-01-25,0
2021-01-26,1
2021-01-27,4
2021-01-28,0
2021-01-29,1
2021-01-30,3
2021-01-31,0
2021-02-01,1
2021-02-02,1
2021-02-03,1
2021-02-04,1
2021-02-05,0
2021-02-06,0
2021-02-07,1
2021-02-08,1
2021-02-09,1
2021-02-10,1
2021-02-11,2
2021-02-12,0
2021-02-13,2
2021-02-14,1
2021-02-15,1
2021-02-16,3
2021-02-17,3
2021-02-18,2
2021-02-19,2
2021-02-20,4
2021-02-21,1
2021-02-22,1
2021-02-23,3
2021-02-24,3
2021-02-25,8
2021-02-26,10
2021-02-27,4
2021-02-28,3
2021-03-01,1
2021-03-02,1
2021-03-03,3
2021-03-04,3
2021-03-05,2
2021-03-06,6
2021-03-07,2
2021-03-08,0
2021-03-09,5
2021-03-10,1
2021-03-11,0
2021-03-12,0
2021-03-13,4
2021-03-14,1
2021-03-15,0
2021-03-16,2
2021-03-17,2
2021-03-18,3
2021-03-19,3
2021-03-20,2
2021-03-21,6
2021-03-22,2
2021-03-23,1
2021-03-24,5
2021-03-25,3
2021-03-26,5
2021-03-27,5
2021-03-28,2
2021-03-29,0
2021-03-30,3
2021-03-31,2
2021-04-01,3
2021-04-02,9
2021-04-03,4
2021-04-04,7
2021-04-05,2
2021-04-06,6
2021-04-07,2
2021-04-08,5
2021-04-09,2
2021-04-10,7
2021-04-11,5
2021-04-12,7
2021-04-13,6
2021-04-14,2
2021-04-15,3
2021-04-16,6
2021-04-17,8
2021-04-18,7
2021-04-19,15
2021-04-20,9
2021-04-21,25
2021-04-22,38
2021-04-23,44
2021-04-24,52
2021-04-25,63
2021-04-26,66
2021-04-27,96
2021-04-28,75
2021-04-29,70
2021-04-30,67
2021-05-01,148
2021-05-02,133
2021-05-03,146
2021-05-04,153
2021-05-05,175
2021-05-06,182
2021-05-07,227
2021-05-08,163
2021-05-09,163
2021-05-10,117
2021-05-11,118
2021-05-12,145
2021-05-13,110
2021-05-14,117
2021-05-15,86
2021-05-16,126
2021-05-17,91
2021-05-18,90
2021-05-19,83
2021-05-20,65
2021-05-21,84
2021-05-22,64
2021-05-23,73
2021-05-24,49
2021-05-25,52
2021-05-26,37
2021-05-27,33
2021-05-28,40
2021-05-29,33
2021-05-30,20
2021-05-31,17
2021-06-01,12
2021-06-02,14
2021-06-03,25
2021-06-04,15
2021-06-05,18
2021-06-06,12
2021-06-07,17
2021-06-08,14
2021-06-09,13
